audio_path,feature_path,transcript,duration,phonemes
timit/raw/TRAIN/DR4/MCDR0/SI524.WAV,timit/features/TRAIN/DR4/MCDR0/SI524.npy,within a system however the autonomy of each member library is preserved,76391,h# w ix th ih n ax s ih s tcl t ax m hv aw eh v axr epi dh uh tcl t aa nx ah m iy ix v iy tcl ch epi m eh m bcl b axr l ay bcl b r er iy q ix z pcl p axr z er v dcl h#
timit/raw/TRAIN/DR4/MCDR0/SI1784.WAV,timit/features/TRAIN/DR4/MCDR0/SI1784.npy,there was a grunt curiously inarticulate like that of an animal in pain,78132,h# dh er w ax z ih gcl g r ah n tcl pau k y er ih s l iy q ih nx aa r tcl t ih kcl k ax-h l ix tcl pau l ay kcl dh ae dx ah v ix n q ae nx ax m el ix n pcl p ey n h#
timit/raw/TRAIN/DR4/MCDR0/SI1154.WAV,timit/features/TRAIN/DR4/MCDR0/SI1154.npy,only incomplete imperfect things move towards what they lack,63488,h# q ow n l ih q ix ng kcl k em pcl p l iy tcl pau q ih m pcl p er f ix kcl k th ih ng z epi m ux v tcl t ao axr dcl z epi w ah tcl dh ey l ae kcl k h#
timit/raw/TRAIN/DR4/MCDR0/SX74.WAV,timit/features/TRAIN/DR4/MCDR0/SX74.npy,an official deadline cannot be postponed,42292,h# q ax n ah f ih sh el dcl d eh dx l ay n kcl k ix n aa tcl b iy pcl p ow s tcl p ow n dcl d h#
timit/raw/TRAIN/DR4/MCDR0/SX344.WAV,timit/features/TRAIN/DR4/MCDR0/SX344.npy,i know i didnt meet her early enough,40448,h# q ay n ow ay dcl d ih q en m iy tcl t hh er epi er l ih ix n ah f h#
timit/raw/TRAIN/DR4/MCDR0/SX434.WAV,timit/features/TRAIN/DR4/MCDR0/SX434.npy,each stag surely finds a big fawn,41063,h# iy tcl s tcl t ae gcl g sh er l ih f ay n dcl z ih bcl b ih gcl g f ao n h#
timit/raw/TRAIN/DR4/MCDR0/SX254.WAV,timit/features/TRAIN/DR4/MCDR0/SX254.npy,do they allow atheists in church,32973,h# d uh dh ey ix l aw q ey th iy ix s en tcl ch er tcl ch h#
timit/raw/TRAIN/DR4/MLEL0/SI1246.WAV,timit/features/TRAIN/DR4/MLEL0/SI1246.npy,he was thus an early and spectacular victim,52941,h# hh iy w ah z pau dh ah s eh n q er l iy ae n s pcl p ax-h kcl t ae kcl k ax l axr v ih kcl t ax m h#
timit/raw/TRAIN/DR4/MLEL0/SI1876.WAV,timit/features/TRAIN/DR4/MLEL0/SI1876.npy,a voice spoke nearathand,36762,h# q ey v oy s pcl p ow kcl n ih r ix tcl hv ae n dcl d h#
timit/raw/TRAIN/DR4/MLEL0/SX76.WAV,timit/features/TRAIN/DR4/MLEL0/SX76.npy,gently place jims foam sculpture in the box,53863,h# jh eh n q l iy pcl p l ey s dcl jh ih m z f ow m s kcl k ah l pcl sh axr ix n dh ax bcl b aa kcl k s h#
timit/raw/TRAIN/DR4/MLEL0/SX436.WAV,timit/features/TRAIN/DR4/MLEL0/SX436.npy,please sing just the club theme,46285,h# p l iy s ih ng dcl jh eh s tcl dh ax kcl k l ah bcl th iy m h#
timit/raw/TRAIN/DR4/MLEL0/SX346.WAV,timit/features/TRAIN/DR4/MLEL0/SX346.npy,the barracuda recoiled from the serpents poisonous fangs,54375,h# dh iy bcl b eh r ih kcl k ux dx ix r iy kcl k ao l dcl d f r ax m dh ax s er pcl p ax n tcl s pcl p oy z en ax s f ae ng gcl g s h#
timit/raw/TRAIN/DR4/MLEL0/SI616.WAV,timit/features/TRAIN/DR4/MLEL0/SI616.npy,he injected more vitality into the score than it has revealed in many years,75674,h# hh iy ih n dcl jh eh kcl t ih dcl m ow r v ay tcl t ae l ax tcl t iy ih n tcl t ux dh ix s kcl k ao r dh eh n ih tcl hv ae z r ix v iy l dx ix n m ih n iy y ih axr z h#
timit/raw/TRAIN/DR4/MLEL0/SX256.WAV,timit/features/TRAIN/DR4/MLEL0/SX256.npy,the irate actor stomped away idiotically,55808,h# dh iy ay r ey tcl q ae kcl t axr s tcl t aa m pcl t ax w ey q ih dx iy aa dx ix kcl k l iy h#
timit/raw/TRAIN/DR4/FEEH0/SX212.WAV,timit/features/TRAIN/DR4/FEEH0/SX212.npy,i gave them several choices and let them set the priorities,53556,h# ay gcl g ey v dh eh m s eh v r el tcl ch oy s ix z q ax n l eh tcl dh eh m s eh tcl dh ax pcl p r ay ao r axr dx iy z h#
timit/raw/TRAIN/DR4/FEEH0/SX392.WAV,timit/features/TRAIN/DR4/FEEH0/SX392.npy,a young mouse scampered across the field and disappeared,50484,h# ix y ah ng m aw s kcl k ae m pcl p axr dcl d ax kcl k r ao s dh ax f iy l dx ix n dcl d ih s ax pcl p iy er dcl d h#
timit/raw/TRAIN/DR4/FEEH0/SI471.WAV,timit/features/TRAIN/DR4/FEEH0/SI471.npy,suddenly my reflexes are gone,39936,h# s ah dx ax n l iy pau m ay r iy f l eh kcl k s ix z aa r gcl g ao n h#
timit/raw/TRAIN/DR4/FEEH0/SX32.WAV,timit/features/TRAIN/DR4/FEEH0/SX32.npy,its fun to roast marshmallows on a gas burner,45978,h# ih tcl t s f ah n tcl t ix r ow s tcl m aa r sh m ah l ow z q ax n ix gcl g ae s bcl b er n axr h#
timit/raw/TRAIN/DR4/FEEH0/SI1112.WAV,timit/features/TRAIN/DR4/FEEH0/SI1112.npy,he will say that our country is even now a homogeneous community,56628,h# hh iy w ih l s ey dh eh dx aa r kcl k ah n tcl t r iy ix z iy v ix n aw q ah hv aa m aa dcl jh en ax s kcl k em y ux n ix dx iy h#
timit/raw/TRAIN/DR4/FEEH0/SX122.WAV,timit/features/TRAIN/DR4/FEEH0/SX122.npy,encyclopedias seldom present anecdotal evidence,52634,h# ix n s ay kcl k l ax pcl p iy dx iy ah s eh l dx ax m pcl p axr z eh n q ae nx ix kcl d ow dx el q eh v ix dx ix n tcl s h#
timit/raw/TRAIN/DR4/MFWK0/SX259.WAV,timit/features/TRAIN/DR4/MFWK0/SX259.npy,tornados often destroy acres of farm land,43623,h# t ao r nx ey dx ow z ao f en d ix s tcl t r oy q ey kcl k axr z ax f aa r m l ae n dcl h#
timit/raw/TRAIN/DR4/MFWK0/SI619.WAV,timit/features/TRAIN/DR4/MFWK0/SI619.npy,he praises many individuals generously,41984,h# hh iy pcl p r ey z ih z epi m eh n iy ih n d ix v ih dcl jh uw el zh dcl jh eh nx axr ah s l iy h#
timit/raw/TRAIN/DR4/MFWK0/SX439.WAV,timit/features/TRAIN/DR4/MFWK0/SX439.npy,that stinging vapor was caused by chloride vaporization,54170,h# dh eh tcl s tcl t ih ng iy ng v ey pcl p axr w ax z kcl k ao z dcl b ay kcl k l ao r ay dcl v ey pcl p axr ix z ey sh ix n h#
timit/raw/TRAIN/DR4/MFWK0/SX349.WAV,timit/features/TRAIN/DR4/MFWK0/SX349.npy,the preschooler couldnt verbalize her feelings about the emergency conditions,67892,h# dh ix pcl p r iy s kcl k ux l er kcl k uh dx en v er bcl b el ay z hh er f iy l ih ng z ax bcl b aw tcl dh iy m er dcl jh en s iy kcl k ix n d ih sh ix n s h#
timit/raw/TRAIN/DR4/MFWK0/SX79.WAV,timit/features/TRAIN/DR4/MFWK0/SX79.npy,will you please describe the idiotic predicament,43725,h# w ih y ux pcl p l iy z dcl d ix s kcl k r ay bcl dh iy ih dx iy aa dx ih kcl p axr dcl d ih kcl k ax-h m ax n tcl h#
timit/raw/TRAIN/DR4/MFWK0/SX169.WAV,timit/features/TRAIN/DR4/MFWK0/SX169.npy,how would you evaluate this algebraic expression,45364,h# hh aw w ix dcl jh ux ax v ae y uw ey tcl dh ih s ae l dcl jh ix bcl b r ey ix kcl k ix kcl k s pcl p r eh sh en h#
timit/raw/TRAIN/DR4/MFWK0/SI1879.WAV,timit/features/TRAIN/DR4/MFWK0/SI1879.npy,that touched off a total stampede,39322,h# dh eh tcl t ah sh tcl t ao f ey tcl t ow dx el s tcl t ae m pcl p iy dcl h#
timit/raw/TRAIN/DR4/MFWK0/SI1249.WAV,timit/features/TRAIN/DR4/MFWK0/SI1249.npy,maybe twenty thirty fifty,39117,h# m ey bcl b iy tcl t w eh nx iy pau th er dx iy pau f ih f tcl t iy h#
timit/raw/TRAIN/DR4/MKAM0/SI1250.WAV,timit/features/TRAIN/DR4/MKAM0/SI1250.npy,evidence that other sources of financing are unavailable must be provided,70554,h# q eh v ix dx ix n s dh eh tcl q ah dh axr s ao r s ax z ax f ay nx ae n s iy n q ax r q ah n ax v ey l bcl el pau m ah s tcl b iy pcl p axr v ay dx ix dcl h#
timit/raw/TRAIN/DR4/MKAM0/SX416.WAV,timit/features/TRAIN/DR4/MKAM0/SX416.npy,a huge power outage rarely occurs,41063,h# q ah hh y ux dcl jh pcl p aw axr q aw dx ix dcl jh epi r er l iy ix kcl k er z h#
timit/raw/TRAIN/DR4/MKAM0/SX146.WAV,timit/features/TRAIN/DR4/MKAM0/SX146.npy,cyclical programs will never compile,39936,h# s ih kcl k l ax kcl k el pcl p r ow gcl g r ae m z pau w el n eh v axr kcl k em pcl p ay l h#
timit/raw/TRAIN/DR4/MKAM0/SX56.WAV,timit/features/TRAIN/DR4/MKAM0/SX56.npy,academic aptitude guarantees your diploma,45568,h# q ae kcl k ix dcl d eh m ix kcl k q ae pcl t ax-h tcl t ux dcl g ih r ix n tcl t iy zh y ao r dcl ax pcl p l ow m ax h#
timit/raw/TRAIN/DR4/MKAM0/SX326.WAV,timit/features/TRAIN/DR4/MKAM0/SX326.npy,steve collects rare and novel coins,49869,h# s tcl t iy v kcl k ax l eh kcl k s epi r eh r q eh n aa l v kcl k oy n z h#
timit/raw/TRAIN/DR4/MKAM0/SI1316.WAV,timit/features/TRAIN/DR4/MKAM0/SI1316.npy,space probes have yielded little information,46285,h# s pcl p ey s pcl p r ow bcl b z hh eh v y iy l d ix dcl d l ih dx el q ix n f axr m ey sh ix n h#
timit/raw/TRAIN/DR4/MKAM0/SI1465.WAV,timit/features/TRAIN/DR4/MKAM0/SI1465.npy,this process is especially difficult since gyro drifting is typically random,81306,h# dh ix s pcl p r aa s eh s pau ix z ix s pcl p eh sh l iy dcl d ih f ax-h kcl k el tcl t pau s ix n s dcl jh ay r ow dcl d r ih f tcl t iy n pau ix z tcl t ix pcl p ax kcl k l iy r ae n dcl d ax m h#
timit/raw/TRAIN/DR4/MSMS0/SX263.WAV,timit/features/TRAIN/DR4/MSMS0/SX263.npy,how oily do you like your salad dressing,37376,h# hh aw q ao l ix dcl d ix y ux l ay kcl y axr s ae l ix dcl d r eh s ix n h#
timit/raw/TRAIN/DR4/MSMS0/SI2063.WAV,timit/features/TRAIN/DR4/MSMS0/SI2063.npy,to his surprise his plan worked perfectly,39424,h# tcl t ix hv ih s axr pcl p r ay z ix z pcl p l ae n w er kcl p er f ax-h kcl k l ix h#
timit/raw/TRAIN/DR4/MSMS0/SI803.WAV,timit/features/TRAIN/DR4/MSMS0/SI803.npy,insulate weatherstrip doubleglaze to the maximum,54477,h# q ih n s ax l ey tcl pau w eh dh axr s tcl t r ih pcl pau d ah bcl b el gcl g l ey z tcl t ix dh ix m ae kcl k s ax m ax m h#
timit/raw/TRAIN/DR4/MSMS0/SX173.WAV,timit/features/TRAIN/DR4/MSMS0/SX173.npy,whoever cooperates in finding nans cameo will be rewarded,55296,h# hh uw eh v ax kcl k w aa pcl p axr ey tcl s ix n f ay n ih n ae n z kcl k ae m iy ow w el bcl b iy r ax w ao r dx ix dcl d h#
timit/raw/TRAIN/DR4/MSMS0/SI1433.WAV,timit/features/TRAIN/DR4/MSMS0/SI1433.npy,while one element is announcing progress another is delineating its problems,68608,h# hh w ay l w ah nx eh l ax m ax nx ix z ix n aw n tcl s ix n pcl p r aa gcl g axr s q ax n ah dh axr ix z dcl d ix l ix nx iy ey ix ng ix tcl t s pcl p r aa bcl b l ax m epi z h#
timit/raw/TRAIN/DR4/MSMS0/SX353.WAV,timit/features/TRAIN/DR4/MSMS0/SX353.npy,a connoisseur will enjoy this shellfish dish,46592,h# q ix kcl k aa nx ix s uw r w uh l ix n dcl jh oy dh ih sh eh l f ix sh dcl d ix sh h#
timit/raw/TRAIN/DR4/MSMS0/SX83.WAV,timit/features/TRAIN/DR4/MSMS0/SX83.npy,my instructions desperately need updating,40960,h# m ay en s tcl t r ah kcl sh ix n z dcl d eh s pcl p axr q l ix n iy dcl q ah pcl d ey dx eng h#
timit/raw/TRAIN/DR4/MSMS0/SX443.WAV,timit/features/TRAIN/DR4/MSMS0/SX443.npy,a lone star shone in the early evening sky,43930,h# ey l ow n s tcl t aa r sh ow n ix n ix q er l ix q iy v n ix n s kcl k ay h#
timit/raw/TRAIN/DR4/MGJC0/SI1335.WAV,timit/features/TRAIN/DR4/MGJC0/SI1335.npy,inflammatory cells were strikingly absent,50791,h# ih n epi f l ae m ax tcl t ao r iy s eh l z epi w axr s tcl t r ay kcl k ix ng l ae bcl s en tcl h#
timit/raw/TRAIN/DR4/MGJC0/SI1256.WAV,timit/features/TRAIN/DR4/MGJC0/SI1256.npy,origin of state automobile practices,45466,h# q ao r ix dcl jh ih nx ah v s tcl t ey dx ao dx ax m ow bcl b ih l pcl p r ae kcl t ax-h s ix z h#
timit/raw/TRAIN/DR4/MGJC0/SX165.WAV,timit/features/TRAIN/DR4/MGJC0/SX165.npy,the easygoing zoologist relaxed throughout the voyage,60109,h# dh ix q iy z iy gcl g ow ix ng z ow aa l ix dcl jh ih s r ix l ae kcl s th r ux aw tcl dh ix v oy ix dcl jh h#
timit/raw/TRAIN/DR4/MGJC0/SI1965.WAV,timit/features/TRAIN/DR4/MGJC0/SI1965.npy,if the other pilots were worried they did not show it,52122,h# ix f dh iy ah dh axr pcl p ay l ih tcl s w axr w er iy dcl d pau dh ey dcl d ix dcl n aa q sh ow ix tcl h#
timit/raw/TRAIN/DR4/MGJC0/SX75.WAV,timit/features/TRAIN/DR4/MGJC0/SX75.npy,fill that canteen with fresh spring water,47924,h# f ih l dh ae tcl k ae n tcl t iy n w ix th pau f r eh sh pcl p r ih ng w ao dx axr h#
timit/raw/TRAIN/DR4/MGJC0/SX345.WAV,timit/features/TRAIN/DR4/MGJC0/SX345.npy,trish saw hours and hours of movies saturday,55808,h# t r ih sh s ao q aw axr z ix nx aw axr z ix v m ux v iy s ae dx axr dcl d ey h#
timit/raw/TRAIN/DR4/MGJC0/SX255.WAV,timit/features/TRAIN/DR4/MGJC0/SX255.npy,my ideal morning begins with hot coffee,49357,h# m ay q ay dcl d ih l m ao r nx ix ng bcl b ix gcl g ih n z epi w ix th hh aa tcl k ao f iy h#
timit/raw/TRAIN/DR4/FLKM0/SI686.WAV,timit/features/TRAIN/DR4/FLKM0/SI686.npy,others were ephemeral,27136,h# ah dh er z epi w er q ax f ih m axr el h#
timit/raw/TRAIN/DR4/FLKM0/SX260.WAV,timit/features/TRAIN/DR4/FLKM0/SX260.npy,remember to allow identical twins to enter freely,57344,h# r ih m eh m bcl b er tcl t uw ah l aw q ay dcl d eh nx ix kcl k el tcl t w ih n z tcl t ix q eh n tcl t axr f r iy l iy h#
timit/raw/TRAIN/DR4/FLKM0/SX116.WAV,timit/features/TRAIN/DR4/FLKM0/SX116.npy,clasp the screw in your left hand,40551,h# k l ae s pcl p dh ax s kcl k r ux ix n y axr l eh f tcl t hh ae y ax n dcl d h#
timit/raw/TRAIN/DR4/FLKM0/SI620.WAV,timit/features/TRAIN/DR4/FLKM0/SI620.npy,his portrayal of an edgy headintheclouds artist is virtually flawless,85607,h# hh ih z pcl p ax-h tcl t r ey ix l q ah v ax n q eh dcl jh iy hv eh dcl d ix n dh ix kcl k l aw dcl z q aa r tcl t ix s tcl t pau ix z v er tcl ch el iy f l ao l ax s h#
timit/raw/TRAIN/DR4/FLKM0/SX350.WAV,timit/features/TRAIN/DR4/FLKM0/SX350.npy,many wealthy tycoons splurged and bought both a yacht and a schooner,72295,h# m ih nx iy w eh l th iy tcl t ay kcl k ux n z pau s pcl p l er dcl jh dcl d ih n bcl b ao tcl b ow th ix y aa tcl t q eh n ax s kcl k ux n axr h#
timit/raw/TRAIN/DR4/FLKM0/SX80.WAV,timit/features/TRAIN/DR4/FLKM0/SX80.npy,its illegal to postdate a check,37684,h# ih tcl t s q ih l iy gcl g el tcl t ax-h pcl p ow s tcl d ey tcl t ix tcl ch eh kcl k h#
timit/raw/TRAIN/DR4/FLKM0/SX440.WAV,timit/features/TRAIN/DR4/FLKM0/SX440.npy,the advertising verse of plymouth variety store never changes,68916,h# dh iy q ae dcl d v axr tcl t ay z iy ng v er s ax v pcl p l ih m ix th v axr ay ix tcl t iy s tcl t ao r n eh v axr tcl ch ey n dcl jh ix z h#
timit/raw/TRAIN/DR4/FLKM0/SI1880.WAV,timit/features/TRAIN/DR4/FLKM0/SI1880.npy,he picked up the powder canister and ran out,51098,h# hh iy pcl p ih kcl t ah pcl dh ax pcl p aw dx axr kcl k ae nx ax s tcl t er q ih n r ae n q aw tcl t h#
timit/raw/TRAIN/DR4/MMGC0/SX315.WAV,timit/features/TRAIN/DR4/MMGC0/SX315.npy,bob found more clams at the oceans edge,46388,h# b aa bcl f aw n m ao r kcl k l ae m z ix tcl dh iy ow sh ix n z eh dcl jh h#
timit/raw/TRAIN/DR4/MMGC0/SX405.WAV,timit/features/TRAIN/DR4/MMGC0/SX405.npy,of course you can have another tunafish sandwich,37888,h# ah v kcl k ao r sh ux kcl k ih n hv ae v ax n ah dh ix tcl t ux n ah f ih sh s ae n dcl d w ix tcl ch h#
timit/raw/TRAIN/DR4/MMGC0/SX225.WAV,timit/features/TRAIN/DR4/MMGC0/SX225.npy,keep the thermometer under your tongue,34612,h# k iy pcl th ax-h th er m aa m ax tcl t axr q ah n dcl d axr y axr tcl t ah ng h#
timit/raw/TRAIN/DR4/MMGC0/SX45.WAV,timit/features/TRAIN/DR4/MMGC0/SX45.npy,addition and subtraction are learned skills,41882,h# q eh dcl d ih sh ix n q ae n s ax bcl t r ae kcl sh ix n aa r l er n dcl s kcl k ih l z h#
timit/raw/TRAIN/DR4/MMGC0/SI1305.WAV,timit/features/TRAIN/DR4/MMGC0/SI1305.npy,if they are not ellipsoids the conclusions will be a reasonable approximation,67789,h# ih f dh ey er n aa tcl ih l ih pcl s oy dcl z dh ix kcl k ix n kcl k l ux zh ix n z w el bcl b iy ih r iy z en ix bcl b el ax pcl p r aa kcl k s ix m ey sh en h#
timit/raw/TRAIN/DR4/MMGC0/SI2184.WAV,timit/features/TRAIN/DR4/MMGC0/SI2184.npy,either that or a veterinarian,29696,h# iy dh ix dh ae tcl pau ao r axr v eh tcl t axr n eh r iy ix n h#
timit/raw/TRAIN/DR4/MMGC0/SX135.WAV,timit/features/TRAIN/DR4/MMGC0/SX135.npy,technical writers can abbreviate in bibliographies,45466,h# t eh kcl n ix kcl k el r ay dx axr z kcl k ix nx ix bcl b r iy v iy ey dx ix n bcl b ih bcl b l ih aa gcl g axr f iy z h#
timit/raw/TRAIN/DR4/MMGC0/SI1935.WAV,timit/features/TRAIN/DR4/MMGC0/SI1935.npy,in my place youd follow such advice as you give me,53351,h# ih n m ay pcl p l ey s y ux dcl d f aa l ax s ah tcl ch ix dcl v ay s ix zh ux gcl g ih v m iy h#
timit/raw/TRAIN/DR4/MJXL0/SX272.WAV,timit/features/TRAIN/DR4/MJXL0/SX272.npy,allow each child to have an ice pop,45159,h# q ax l aw q iy tcl ch tcl ch ay l dcl t ax hv ae v ax nx ay s pcl p aa pcl h#
timit/raw/TRAIN/DR4/MJXL0/SI1795.WAV,timit/features/TRAIN/DR4/MJXL0/SI1795.npy,he shrugged casually,27648,h# hh iy sh r ah gcl d kcl k ae zh uh ax l iy h#
timit/raw/TRAIN/DR4/MJXL0/SX362.WAV,timit/features/TRAIN/DR4/MJXL0/SX362.npy,the annoying raccoons slipped into phils garden every night,60724,h# dh iy ix n oy ix ng r ae kcl k ux n s l ih pcl t ix n tcl t ux f ih l z gcl g aa r dcl en q eh v r iy n ay tcl h#
timit/raw/TRAIN/DR4/MJXL0/SI542.WAV,timit/features/TRAIN/DR4/MJXL0/SI542.npy,she came back the other day to reassure me,45773,h# sh iy kcl k ey m bcl b ae kcl k dh iy ah dh axr dcl d ey tcl t ax r iy ix sh er m iy h#
timit/raw/TRAIN/DR4/MJXL0/SI1172.WAV,timit/features/TRAIN/DR4/MJXL0/SI1172.npy,he was busy he said in having someone submit to a monkeygland operation,77312,h# hh iy w aa z bcl b ih z ix hv iy s eh dcl pau q ih n hh ae v ix ng s ah m w ah n s ax bcl m ih tcl t uh ax m ah ng kcl k iy gcl g l ae n dcl d aa pcl p er ey sh ix n h#
timit/raw/TRAIN/DR4/MJXL0/SX182.WAV,timit/features/TRAIN/DR4/MJXL0/SX182.npy,thick glue oozed out of the tube,38093,h# th ih kcl g l ux pau ux z dcl d aw dx ax v dh ax tcl t ux bcl h#
timit/raw/TRAIN/DR4/MJXL0/SX452.WAV,timit/features/TRAIN/DR4/MJXL0/SX452.npy,in developing film many toxic chemicals are used,61952,h# ih n dcl d ax v eh l ax pcl p ix ng f ih l m eh nx iy tcl t aa kcl k s ix kcl k eh m ax kcl k el z axr y ux z dcl d h#
timit/raw/TRAIN/DR4/MMBS0/SI521.WAV,timit/features/TRAIN/DR4/MMBS0/SI521.npy,traffic frequently has failed to measure up to engineers rosy estimates,76391,h# t r ae f ix kcl k f r iy kcl k w eh n q l ix hv eh z f ey l dcl t ax-h m eh zh er ah pcl t ix q ix n dcl jh ix n ih axr z r ow z iy y eh s tcl t ix m ax tcl s h#
timit/raw/TRAIN/DR4/MMBS0/SX71.WAV,timit/features/TRAIN/DR4/MMBS0/SX71.npy,porcupines resemble sea urchins,47719,h# p ao r kcl k y ux pcl p ay n z r iy z eh m bcl b el s iy q er tcl ch ix n epi z h#
timit/raw/TRAIN/DR4/MMBS0/SI1781.WAV,timit/features/TRAIN/DR4/MMBS0/SI1781.npy,the shadow vanished,32461,h# dh ax sh ae dx ow v ae nx ih sh tcl t h#
timit/raw/TRAIN/DR4/MMBS0/SI1151.WAV,timit/features/TRAIN/DR4/MMBS0/SI1151.npy,for what do the utopians labor,37274,h# f ao w ah tcl d ux dh iy y ux tcl t ow pcl p iy ix n z l ey bcl b er h#
timit/raw/TRAIN/DR4/MMBS0/SX161.WAV,timit/features/TRAIN/DR4/MMBS0/SX161.npy,as a precaution the outlaws bought gunpowder for their stronghold,68506,h# q ae z ax pcl p r iy kcl k ao sh ix n dh ix aw q l ao z bcl b ao tcl t gcl g ah n pcl p aw dcl d er f axr dh eh r s tcl t r ao ng hv ow l dcl d h#
timit/raw/TRAIN/DR4/MMBS0/SX431.WAV,timit/features/TRAIN/DR4/MMBS0/SX431.npy,the fifth jar contains big juicy peaches,56832,h# dh ax f ih th dcl jh aa r kcl k en tcl t ey n z bcl b ih gcl g dcl jh ux s iy pcl p iy tcl ch ix z h#
timit/raw/TRAIN/DR4/MMBS0/SX341.WAV,timit/features/TRAIN/DR4/MMBS0/SX341.npy,the high security prison was surrounded by barbed wire,53351,h# dh ax hv ay s ix kcl k er axr dx iy pcl p r ih z ix n w ax s axr r aw n d ix dcl b ay bcl b aa r bcl b dcl d w ay axr h#
